,komentar
954,MBA STOP NGERASA CANTIK DEH LO. SEMENJAK LO VIRAL karena DITINGGAL NIKAH LO JD PICK ME banget GA SEKELAS banget SAMA ZIZE­ STORY LO AJA PAID PROMOTE NETFLIX IPHONE MURAH ALAY banget­ MAU LO PUTUS JULY TETAP AJA LO BUKAN PILIHAN ARHAN DINIKAHIN BEDA KELAS BEDA AGAMA WOI SADAR DIRI MBAK SADAR jangan SOK ARTIS PICK ME GINI DEH
955,popo ko ganti nama jadi marshella?
956,KOK FANS S JADI NGERASA SI PALING TERSAKITI GINI? yang awalnya hujat menghujat kan lu semua. Semua di postingan vt zize pasti bawa2 kasian mbak S kasian mbak S giliran dihujat balik merasa tersakiti banget. lu pada juga suka nyasar ke vtnya zize sama arhan. giliran kita nyasar ke postingan S pada ngambek. lawak lo bocil
957,JASA NETFLIX KELILINGNYA KAKA BIAR GA GAMON HARGANYA 18K
958,"jadi banyak endorse, jual iba simpati „„„„"
959," sini sok paling tersakiti ups , make up lo menor tuh"
960,Emang boleh se CAPER itu?‚
961,yang komen jahat ANJING lo kentot
962,"kok bisa arhan suka modelan tante2 bgini? curiga dimanfaatin buat anu doang, kasihan banget"
963,Unsur nyindir nya dari mana coba emang agak lain ni belok2 otak nya
964,Tante girang yang pengen dapat attention gini nih
965,"udah putus, beda agama, banyak gaya lagi"
966,HAHAHA MBA MENOR MENOLAK MOVE ON NIH YE
967,"shella emang pick me banget, playing victim dengan balesin komen netizen dan up sg galau galau mulu seakan ngegiring opini yang mana mojokin mantannya,"
968,Netizen emang kaya anjing
969,mukanya kek tante ih cakepan juga zizee
970,Kek tante tante haha
971,Putus udah lama baru galau nya sekarang???????????????? caper ?
972,Kak mau malem pertama ya? Wkwk tapi sayang ga pantes pake baju itu‚
973,Make up lu kayak joker
974,"fans kmu banyak bocil dan jamet shella:) terus ngusik komenan ig dan tiktok zize, pas aku buka ternyata kebanyakan bocil dan jamet, seharusnya kamu bikin sg untuk berhenti menghujat mereka, "
975,"makin lama makin kidding wkwk sok tersakiti , "
976,Norak lu tu ga direstuin
977,Dia udah hamilin duluan ya kak? Makanya langsung dinikahi? 
978,"TOLONG DONG MBA NYA ITU FANS MBAK NYA DIOMONGIN BIAR GA NEBAR HATE KOMEN DI IG ISTRI NYA ARHAN, GAJELAS BANGET NGATAIN sampai KE FISIK, LIKE IDOL LIKE FANS WKWK CUIH SAMPAH"
979,"endorse terus neng? harusnya lu makasih sama @pratamaarhan8 @azizahsalsha_ berkat mereka, lu jadi banjir endorse wkwk‚"
980,jangan caper mba kasihan istri SAH kena hujat
981,"dapat endorse followers naik, kecipratan berkahnya juga kan lu shel dari pernikahan mantan lu, jd stop deh bikin sg galau2 yang bikin istrinya arhan makin dhujat"
982,PICK ME ANJIR
983,CAPER MOVE ON DONG
984, tolong dong bilang sama fans norak lo itu jaga ketikan di zize arhan udah sayang banget tu ke zize bilang samaa fans norak lo buat ga nyama nyamain lo sm zize jauh banget soalnya hehe
985,PICK ME GA DIAJAK SOK TERSAKITII YA
986,"Gak aneh si, kalau istrinya arhan di hujat, orang yang disini suka menggiring opini pake story tertentu"
987,STOP CAPER LO DIKENAL KARNA PERNAH PACARAN SAMA ARHAN­ TANPA PACARAN SM ARHAN LO JUGA GA DIKENAL SAMA SEMUA ORG ANJING GEDEG saya
988, STOP CAPER DRAMA DEH LO APA LG SOK seperti ARTIS SEKARANG DUH GERAM
989,Semangat capernya. Biar banyak endorse ¶
990,nah ini popo banget
991,urusin noh fans lu mbak kek org gak sekolah bodoh nya
992,kalau bukan jodoh mau jungkir balik juga ya gak bisaa dipaksa. Blok goblok
993,"Memanfaatkan situasi biar dapat endorse, soalnya gaada yang belikan gincu merah lagi ya sel­"
994,Menor mbak
995,"Jujur saya kesal lihat fans nya s shella pada gak ngotak,,, "
996,Endorse elit move on sulit
997,YA GIMANA G DITINGGALIN ORG orang tuaNYA MATA DUITAN JUGAA wkwk YAKALI ANAK DPR DILOLOSIN GITU AJA KAN MAU NAIK DAUN APALAGI SAHBATNYA DI KOMPOR GAS ABIS MAKNYA BKIN PROVOKATOR WKWK GAK TERIMA KAU? HEI PANTEK DARI AWAL JG saya LIAT TUH PEMANASAN BANYAK WKWK MAU BKIIN IRI YA DEK? CEMAS KAH? PALAK KAU KAU SINI KU BANTENG
998,Ziza lo karna anak dpr jd lo punya kuasa mb shella kalau anak dpr jg pasti berkuasa bisa beli cowo yang bernama pratama arhan ganteng nga hitam iye‚
999,"gak jelas banget anjing netizen, di lapak sebelah nyuruh fans mba shel jangan ngehujat dia, eh di lapak mba shel fans sebelah malah ngehujat, wkwk minus otak lo pada"
1000,"Asli gak ada attitude nya banget ini cewe,  kaget banget setelah nonton diyoutubenya @volix.media bareng marlo"
1001,"Belajar sama senior dulu kei, attitude lo kayaknya masih NOL BESAR deh."
1002,lo gapunya attitude soalnya
1003,Tombol report -------->
1004,"Emang kelihatan ngk punya adab, penyanyi Banyak Gimik anjir"
1005,anjing SOK ASIK
1006,"Minimal kalau ga bisa highnote benar pas live, attitude nya aja yangg benar"
1007,"oh ini anak kemarin sore yang gaada etika, kok bisa sih idol lolosin kek gini ni! Suara Biasa aja kelakuan konyol!"
1008,wkwk belajar manners dulu  sebelum jadi penyanyi ya goblok
1009,"paling bentar lagi minta maaf dah abis itu kelar,c uma jadi ketahuan etika nya sama suara nya sama sama fals"
1010,"Dari awal liat diawaktu podcast siapa gitu kaki nya dinaikin aja aku udah ngerasa dia gak sopan banget ya, dan sekarang malah bilang cok loh itu gak sopan banget key!"
1011,Untung dari dulu aku emang benci lu wkwk
1012,PERCUMA SANA SINI tapi GAK PuNYA ATTITUDE
1013,"Orang nggak punya attitude sama etika begini nih jadinya, nggak punya adab"
1014,oh ini orang yang kalau ngomong ga mikir? ga mikir apa ga punya pikiran?
1015,Minimal belajar dulu jokes yang sopan dan santun dan enak di dengar dek
1016,"””300 AMBIL SAMA KANDANG, GAK GIGIT KOK CUMAN MINUS AKHLAK AJA"
1017,Wuih.. dihapus podcastnya di volix saking parahnya attitude nya.. ga menghargai hostnya.
1018,Bad attitude.
1019,"attitudenya keisya ini ga ada sama sekali,  si keisya ini ga ada respect2nya sama sekali sama volix sama si marlonya juga, bad attitude."
1020,"keisya plis lah, lu kalau di podcast ka marlo @marlo @volix.media lebih ber manner dikit, BISA GA SI? SO ASIK BANGET HERAN, GAK PUNYA ADAB NYA ANJIR, org ngomong serius, dikata lucu lawak lo begitu?"
1021,"Tai, eek kata2 dia di podcast  songong abis.. hancurin karir sendiri‚"
1022,so asik benar tapi ga ada etika... gini penyanyi mau dicontoh kah manis? najis benar
1023,saya jadi benci njir
1024,Malu sendiri liat podcastnya. please ngaca dan berbenah. Minta maaf sama marlo dan tim
1025,Attitude nya hancur suaranya lebih hancur‚
1026,"kalau DI WAWANCARAI , GAK USAH SOK ASIK , HARGAI LAWAN BICARA kalau DI WAWANCARAI , DASAR BOCIL LABIL SOK ASIK "
1027,Tombol unfollow‘‰‘‰
1028,Ga pantas jadi artis lo bangsat! Etika itu di jaga
1029,modal tampang doang nyanyi masih ngik ngik atitude jelek. parah lu
1030,Kamu itu terlalu babi! kalau gak mau di wawancara jangan datang bangsat! Gajelas anjing! Jangan sok cantik atau sok asik! Etika kamu terlalu rendah! Ngomong kek orang lagi mabuk!
1031,"Test kejiwaan dulu deh mendingan, udah suara pas pas an minimal atitude nya sedikit di pake dong, apa emang gak di ajarin atidude apa sama orang tua nya cuman jadi budak mesin uang aja? pantes kek gapunya agama"
1032,semoga attitude lu ngehancurin karier lu
1033,PADA NYURUH BERETIKA YANG KOMEN LEBIH GAK BERETIKA.. . MIRIS!!!!!!!!!
1034,IDOL APAAN GINI BURIK
1035,"Suara kalau live jelek, gak bisa menerima kritik, cantik juga gak seberapa tapi atitude nya rendah.. coba harga orang dulu gih, kalau belum siap jadi publik figur gak usah, sok asik lu"
1036,kayaknya dulu pas bayi ngubur ari2nya kurang kedalem jadinya begini pas udah gede
1037,"benar2 gak ada sopan santun dan adabnya ngomong sama yang lebih tua, benar2 ngaco dan semau dia sendiri. Entah dia akal sehatnya lagi gak ada apa emang wataknya gitu. Miris banget liat podcastnya dia di acara TV pagi tadi. kalau di luar negeri yang begini udah di blacklist dari entertain sih."
1038,NORAK LU ANJIR GA ADA ETIKA
1039,"PERCUMA LO CANTIK kalau GA PUNYA ATTITUDE, MIRIS"
1040,"SOK ASIK TAI, SOAL PEMIKIRAN LO TAI"
1041,"mukamu bau tai, tai, ga cocok jadi public figure, bad attitude, mulutnya busuk"
1042,mau di rujak netizen? Btw lu gak ada keren2 nya dek tapi yang ada malu2in wkwk
1043,"Lu ada masalah hidup apa sih cil, attitude lu benarin dulu. Di undang jadi bintang tamu malah mulut lu kaya orang mabuk, habis nge ganja lu?"
1044,PERCUMA CANTIK ATTITUDE GAK ADA!!.. nanti tenggelam sendiri..
1045,ga usah sok asik
1046,Nyanyi suka fals . bad attitude lagi... aduh jangan kasih panggung sih ini cwek… dulu aja sok paling tersakiti pas di kritik igun
1047,"suara jelek, attitude jelek . aduh key please jangan diborong semua kebodohannya"
1048,Kasian gak ada attitude dan sok asik.
1049,attitude lu bos kemana? Kelakuan sampah banget
1050,kaya orang idiot ..
1051,gak hanya di podcast marlo tapi podcast lain bocah gak terdidik juga ngomong sambil angkat kaki dengan alasan lagi PMS. Dia pikir dia sendari wanita dibumi ini yang alami PMS sampai akhlaknya gak bisa dia kontrol.
1052,Pantesan ivan gunawan gak suka ternyata benar attitude sebagai idolnya kurang sesuai statemant dirinya sendiri. jangan star syndrome dong! Dari kasus sama igun aja public sudah ga suka. Ditambah sekarang podcast sm orang dengan attitudenya bikin public enemy. jangan nanti muncul bikin klarifikasi penyesalan ya  key.
1053,Udah gak bisa nyanyi gak bisa jaga attitude lagi
1054,Dari muncul pas audisi udah keliatan sih dengan jutek nya
1055,suara ancur attitude lebih hancur
1056,mending bunuh diri.. gak ada gunanya lg di dunia...
1057,"skip jangn di ajak orang ini podcast lagi ya, kalau mau ajak terus dia begitu lg slepet aja mulutnya, kurang ajar soalnya"
1058,selain suaranya hancur attitudenya lebih hancur
1059,Apa kuping saya salah dengar pas host nya nanya dia bilang tai
1060,"miris kalau di diamkan , yang salah ucap aja bisa di bilang penistaan agama, ah ini apa kabar ? berhijab tapi tidak beradab ¹¸"
1061,ni anak ga kelar udah semua kontennya begini mulu memancing hawa nafsu
1062,Yang makan babi bilang bismillah tapi ga hijaban keknya masih agak sedikit mendingan dibanding ini yang pakaiannya jelas2 hijab tapi gestur nya menunjukkan ke arah porno aksi Tanpa harus nyebut bismillah pun itu hijab udah meneriakkan Im a Moslem 
1063,"Ada Fetish perempuan berjilbab berpenampilan seksi, dan dia tau fetish ini makanya semua postingannya begitu karena dia tau punya pasar. Mau dihujat gimana pun dia akan makin begitu."
1064,"Miris, sedih, dan pilu nggak layak di contoh "" Astagfirullah hallazim """
1065,"Caper, jelek. Apa fungsi nya buat konten kayak itu."
1066,"please yang kayak gini harus ditindak lanjut, nge rusak moral banget"
1067, minimal dia di penjara ’’’’’
1068,Kawal sampai baju orange dan di penjara 
1069,Tombol setuju dia masuk penjara >>>>>>
1070,"Mempermalukn dirinya sendiri, padahal Allah memberikan kemuliaan pada wanita, tapi tidak bs malah merusak dirinya sendiri"
1071,"Gak perlu capek capek merendahkan wanita, sebab ia tau cara untuk merendahkan dirinya."
1072,Bodohnya malah di undang podcast sana sini 
1073,Makan babi ngonten di penjara tuh ... Masa ini kayak gini kagak.... Gak ada minta maaf... kalau cuma bilang maaf dimaafin fix pilih kasih ... ””
1074,tapi masih tetap jg di bikin makin viral ’¨ report aja sih guys biar menghilang.
1075,Tombol gatau malu‘‰
1076,mba waktu sekolah kemane lu  bolos terus ya soalnya otak kosong
1077,Oklin cantik?? Duh dmn cantiknya?? Dia itu cuma umbar toket sm pantat nya doang buat pemuas visual mata laki2.. buruan kek si oklin tuh penjarain..
1078,LONTE ANJING!!!
1079,Jijik banget 
1080,"Tolong pak ditangkep, saya sebagai perempuan. martabat nya seperti di injak2 walaupun yang melakukan manusia tidak beradab "
1081,"Makan babi pake bismillah penistaan agama, ini makan eskrim pake kerudung gimana? ‹"
1082,"Akhirnya dia kena juga, kontennya menjijikan banget"
1083,"Pingin ku culik , ku jambak , kugundulin , lepasin"
1084,"NAJIS please up dong yang gini biar langsung di ringkus aja, udah jijik dari kapan tau nauzubilah"
1085,Lumayan tetek nya besar efek busa
1086,"Mbak Pelacur aja masih punya Malu sama tuhan mbak,, Anda Pake jilbab tapi ko gak malu ya.. astaghfirullah... lebih seram ngeliat Kelakuanmu mbak dari pada ngelihat SETAN"
1087,Rambut dia botak makanya pake jilbab gitu. Soalnya kalau muslim yang berhijab paham makna yang digunakan
1088,udah terlalu sering nih anak menistakan agama nya sendiri . Tolong kali ini laporan saja 
1089,minimal kalau tau jelek ga usah banyak tingkah wkwk
1090,Kenapa yang gini selalu dikasih panggung dia kan lagi pengen viral  tapi mencontohkan keburukan baikan kasihan generasi muda apalagi yang menganggap penampilan dia benar
1091,Itu mbaknya pake hijab kepalanya botak apa kutuan mbak.. 
1092,saya juga risih liatnya bukan cewek doang dah benaran
1093,DEFINISI WANITA TIDAK PUNYA AKHLAK
1094,dikira seksi kali ‚‚‚ kampung boleh bego jangan ‚‚
1095,udah jelek burik jurik banyak tingkah !!!
1096,Sakit emang benar nih cewek asli jijik ; buka aja kerudung lo ga pantes lo
1097,Definisi hijabnya yang ternodai­
1098,jijik najis anjing
1099,Laporin biar masuk penjara
1100,"Nah yang gini masuk penjara, lu mau jatuhin harga diri lu silahkan tapi lepas hijabnya..."
1101,kayak nya dia gak datang pas pembagian otak ‚‚‚
1102,pengen jambak jilbabnya sampai lepas @winditryputri @ekaacandra25 @rippkyru22 @diya_halie
1103,Penistaan agama nih.. minimal di penjara..
1104,PENISTAAN SYARIAT SIH INI ASLI
1105,MEMALUKAN sekaligus MENJIJIKAN
1106,Mungkin dia jadi perek belum tuntas sih.... jadi kerudung itu kedoknya saja biar dibilang alim
1107,"Cuih, tolong yang ketemu dia dijalan .. jambak jilbabnya!!!¬"
1108,Emang ga punya adab itu perempuan. Konten nya pun tidak berfaedah !!
1109,"Konten nya memancing, tapi ditawar atau dibilang murahan gak Terima "
1110,Udah ga cantik banyak ulah–
1111,Ada ada aja tu bocah. saya sampai berulang ulang kali sihh blokir tiktok dia. Lewat mulu anjir di beranda tiktod saya
1112,"Cantik gak tapi banyak tingkah. Hijabnya buat nutupin kepalanya yang botak, pakai baju panjang buat nutupin kudis sama kurapnya kali"
1113,mending gak usah pakai kerudung.. ini yang merusak citra perempun yang benar benar muslimah.. sekalian aja telanjang mbak
1114,"dih caper, udah komuknya mirip dugong"
1115,"Semoga ketangkep dan masuk penjara, penistaan agama"
1116,Kepada ibu @nikitamirzanimawardi_172 tolong ajari kami hadapi manusia tolol kayak dia
1117,"najis ,kontennya aja baju nya ketat banget.. mendang lepas aja tuh hijab.."
1118,"najis, cakep kaga kek mba2 gitu. Pengen terkenal caranya begitu lg, lonte cabe"
1119,"Ga cuma konten yang ini sih guys. Konten dia semuanya benar2 keterlaluan dan udah termasuk penistaan agama sih menuruntuku. Jujur, saya jijik lihatnya. Lagi ya adeknya juga. Coba di ringkus, terus ditanyain kenapa sampai kayak gitu"
1120,"Kerudungnya gak salah, yang salah ini manusia Lonte berkedok islami ¬ ini gak ada yang niat laporin apa ? Receh banget harganya."
1121,Mungkin dia terinspirasi dari mia khalifa .. yuk bisa yuk di pidanakan
1122,"Cuma mau ngasih tau, DIA BUKAN MANUSIA"
1123,"Ayo ramai2 kita doain dia supaya kena azab, memek rapet gk berlobang, tetek nya meledak "
1124,"Sudah masuk ke pencemaran hijab ini sebenarnya, wajib di gruduk"
1125,"untuk netizen budiman yang kayak gini gak usah dikasih panggung, kalau lihat kontennya langsung report saja"
1126,"Konten nya juga nggak mutu semua  yang sakit orangnya , yang kenak hijab nya  pelase lah jangan kasih panggung"
1127,Msukin penjara gabungin sm tukang pemerkosa
1128,"Benar banget penistaan agama, seperti salah banget mempergunakan hijabnya. Mending ga usah pakai hijab sekalian kalau emang mau konten seksi"
1129,"Dia tuh kaya terobsesi banget buat pamer segala bentuk lekuk tubuhnya tapi sedikitapiun gapernah buka hijab dan kelihatan rambutnya , curiganya sih kepalanya borokan atau pitak kali ya ."
1130,dasar gak punya malu… konten gak bermanfaat dan gak ada guna nya 
1131,idih jijik kali lihatnya
1132,"Makan es krim aja ribet gayanya ngapain gt© sekarang banyak org2 pengen viral dengan ngelakuin apa aja, bahkan smpai melakukan hal2 me-malu-kan! Miris!!"
1133,Najis
1134,"Dia pake hijab bukan buat nutup aurat, mungkin kepalanya botak "
1135,"Otak kalau dipake di dengkul hasilnya kek gini ¬ semoga cepat"" dapat azab nya "
1136,"goblok , norak konten nya tolol !!!"
1137,kadang lucu sih asal berkerudung pasti dianggap islam??? lah jangan lihat nista agama kalau perilaku ga cocok dia itu menistaskan dirinya sendiri
1138,Miris anak zaman sekarang mau tenar tapi akhlak nya ... Ngejatuhin diri sendari nanti kalau di lecehin org jangan silahkan org nya kamu sendiri yang mengundang berhijab kok begitu kalau mau begitu jangan pakai hijab kasihan cewek yang berhijab herman GaK habis pikir ini orang tuanya tau GaK kelakuan anaknya kayak gini
1139,Minimal jangan pakai kerudung lah kalau kelakuan kayak setan putar begitu¸‘
1140,kayak binatang...
1141,lepas aja kerudungnya kontol kalau mau pamer tetek goblok!!!!
1142,"Ayo kita  report juga konten cabul mesum kek gini, kalau ditiru anak2 gimana"
1143,Saking pengennya Terkenal jadi sampai bkin konten tidak pantas @oklinfia semoga cepat diproses dan cepat masuk penjara
1144,SAKIT ni orang!!! #TOLOL
1145,Penjara aja
1146,"Kalau yang gini gak masuk buih, keterlaluan sih. ayok la negara ini masih negara hukum dan beragama, ayo malu minimal sama mata dunia"
